kn
0.12
deviations
param,inde dev,comp dev
C(t=0),0.123190592096,8.52549354204e-08
N(t=0),1.09801125423,5.68537081858e-08
kn,nan,4.88733663262e-09
r (MAD),0.702995157456,2.33474337993e-06
params
param,true,inde est,comp est
C(t=0),0.01,0.133190592096,0.00999991474506
N(t=0),1.0,2.09801125423,1.00000005685
kn,0.12,nan,0.119999995113
r0,1.1434282299326066,0.0693314075001,1.14343043282
r1,2.4907194975678784,0.321772937544,2.49072354953
r2,0.22589661831449326,0.0,0.225897491922
r3,1.0592820273263666,0.103272030141,1.05928388732
r4,1.7685692462953173,0.2866641693,1.76857209949
r5,0.0,0.0,7.8888886227e-06
r6,0.0,0.0,1.14258505592e-08
r7,0.0,0.0,3.2953199885e-07
r8,0.4876660289621736,0.0675646868107,0.487666970163
