kn
0.14
deviations
param,inde dev,comp dev
C(t=0),0.126419860523,1.66152962664e-07
N(t=0),1.22351670048,2.34454429426e-07
kn,nan,8.01477003376e-08
r (MAD),0.709921143712,4.4492606544e-06
params
param,true,inde est,comp est
C(t=0),0.01,0.136419860523,0.00999983384704
N(t=0),1.0,2.22351670048,1.00000023445
kn,0.14,nan,0.139999919852
r0,1.1434282299326066,0.0626855529324,1.14343260658
r1,2.4907194975678784,0.302429485088,2.49072773116
r2,0.22589661831449326,0.0,0.22589903847
r3,1.0592820273263666,0.0925908447768,1.0592858849
r4,1.7685692462953173,0.269698173888,1.76857470785
r5,0.0,0.0,2.42428049435e-10
r6,0.0,0.0,1.40687010162e-05
r7,0.0,0.0,3.03165378201e-10
r8,0.4876660289621736,0.0588672983067,0.487667653538
