kn
0.08
deviations
param,comp dev,inde dev
C(t=0),0.00686234854766,0.00987883024068
N(t=0),1.0,0.281853612084
kn,4.2788862717,nan
r (MAD),0.35687862014,0.633607026951
params
param,true,comp est,inde est
C(t=0),0.01,0.0168623485477,0.000121169759318
N(t=0),1.0,0.0,1.28185361208
kn,0.08,4.3588862717,nan
r0,0.97851958401,0.853838262061,0.568386652163
r1,0.771436019632,1.12789566588,0.353368842915
r2,0.0,0.371490440286,0.274507120508
r3,0.0,0.0,0.274507120508
r4,1.59012734883,1.2247649362,2.52356898936
r5,2.23962722829,1.28871012956,3.53324098936
r6,0.0,0.0,0.274507120508
r7,0.528320448244,0.928390207815,0.438971908733
r8,0.372482387106,0.109609130121,0.356884879916
r9,0.555534005203,0.879366445315,0.448526411576
r10,0.302589644278,0.0,0.324258192998
r11,0.609717391171,0.863496585072,0.460602429378
r12,0.123066101231,0.0,0.286435042352
r13,0.0,0.0,0.274507120508
r14,0.913363092458,1.27348801883,0.981774482094
r15,0.408220797241,0.691173272414,0.38472097871
r16,0.0,0.0,0.274507120508
r17,0.0,0.216942511091,0.274507120508
r18,1.1618660876,1.26606159944,1.61144658673
r19,1.88036836798,1.07004106607,2.78239521504
r20,2.31015692137,1.26230447574,3.48598193446
r21,1.0063989784,0.00136882888203,0.36127772774
r22,1.62118536284,1.22025513024,2.4973728665
r23,2.23144087015,1.11909518717,3.13044179446
r24,2.61568153841,1.4404111382,4.36176812131
r25,0.0,0.0,0.274507120552
r26,0.0,0.0,0.274507120552
r27,1.5366625764,1.39752821448,2.63693397504
r28,0.982963278553,0.0,0.35547108047
r29,1.77596427078,1.37104719823,3.11347651642
r30,0.0,0.0,0.274507120552
r31,1.02290228607,1.06401753409,0.860379849652
r32,1.24595485292,1.31001078365,2.0825849811
r33,1.30436579297,1.17081522221,2.03318333006
r34,1.63562350791,1.11673828574,2.42748064984
r35,2.45849949622,1.44535207612,4.28353411777
r36,1.61884903349,1.44208498913,3.13054930379
r37,0.887144528063,1.19992713627,0.671965761468
r38,0.617434451094,0.781519639525,0.452837316941
r39,0.312458453744,0.0,0.328772741428
r40,1.25286689008,1.50164937931,2.32518194963
r41,0.0,0.0,0.27450712051
r42,0.0684011436758,0.0,0.280021988104
r43,1.29546275642,1.34231655975,2.06690166368
r44,0.762374885984,0.0,0.460300225141
r45,3.1564014156,1.79186627496,5.3681283082
r46,0.0,0.0,0.27450712051
r47,1.10341656473,1.19429771221,1.23588498317
r48,1.07513471474,1.02657332979,0.951328800327
r49,1.18753801792,1.18445370579,1.50841987759
r50,2.23637139384,1.27922259937,3.46247233081
r51,2.8084712945,1.1647272235,3.73791309619
r52,2.20495804158,1.40685174352,3.64967130053
r53,0.461115389064,0.0,0.344435314356
r54,2.16826658852,1.49150054374,3.81353029421
r55,2.34130077567,1.24154331983,3.4827668723
r56,0.229217172314,0.0,0.300895498637
r57,0.76525080764,0.255531900962,0.443045896198
r58,2.15372811229,1.52230408022,4.06665707333
r59,0.0772796926893,0.0,0.279974433586
r60,0.19955947208,0.0,0.298006837838
r61,0.0,0.0,0.27450712051
r62,0.56865647693,0.899495102627,0.460405115054
r63,1.01203150225,1.24721298662,1.20679907456
r64,1.59250855646,1.20491738412,3.02607337916
r65,0.828929811116,1.02483479838,0.340360778788
r66,1.0288983636,1.17000460234,1.08747870497
r67,0.0,0.0,0.27450712051
r68,2.01745428133,1.75782285235,4.39368343594
r69,0.253454422873,0.0,0.305502445243
r70,0.0223044860221,0.259914416678,0.276175863779
r71,0.0,0.0,0.274507120668
r72,0.0,0.215024995541,0.274507120668
r73,0.455944269357,0.0,0.37150569872
r74,2.06890792912,1.35835562908,3.63794217103
r75,1.17729194913,1.07019564531,1.09141925147
r76,0.0,0.0,0.274507120668
r77,3.83163809066,1.66241598668,5.31390446453
r78,0.677907631198,0.0,0.428229089561
r79,4.03428777159,1.51791958043,5.15985917916
r80,0.776384106143,0.81069898873,0.436726614064
