Barcode	Row	Column	Col	ScreenID	Treatment	Medium	ORF	Screen.Name	Library.Name	MasterPlate.Number	Timeseries.order	Inoc.Time	TileX	TileY	XOffset	YOffset	Threshold	EdgeLength	EdgePixels	RepQuad	K	r	g	v	objval	tshift	t0	d0	nAUC	nSTP	nr	nr_t	maxslp	maxslp_t	Gene	MDP	MDR	MDRMDP	glog_maxslp	DT	AUC
DLR00012733	1	1	1		27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	YOR202W	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	0	2009-11-09_19-26-14	NA	NA	NA	NA	NA	NA	NA	1	0.0441144884057054	13.906810668636	0.00011	1	0.0045359992724822	0	0.0238888888888889	0.0394833599485276	0.173082130028573	0.034753915534919	0.556486167333503	1.00664108552997	0.0233929051129261	3.37753075992659	HIS3	8.64760522018023	19.9911012237295	172.875151299474	0.153372959500471	1.20053416424664	0.201008373941096
DLR00012733	1	2	2		27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	YOR202W	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	0	2009-11-09_19-26-14	NA	NA	NA	NA	NA	NA	NA	1	0.0355060759338756	6.58692153206504	0.00011	1	0.00393278688678494	0	0.0238888888888889	0.0239986478828928	0.121624605081467	0.0194380664650358	1.0826287481791	1.00664108552997	0.0298792467463838	3.37753075992659	HIS3	8.3344185911947	9.46043760822901	78.8472470828614	0.0584689340219954	2.536880532791	0.145840211215936
DLR00012733	1	3	3		27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	YOR202W	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	0	2009-11-09_19-26-14	NA	NA	NA	NA	NA	NA	NA	1	0.0511902733928404	3.82357670550024	0.00011	1	0.00442272065515909	0	0.0238888888888889	0.0247197436555444	0.141644513704603	0.019674640941587	1.05942746803311	1.00664108552997	0.031375697979244	3.37753075992659	HIS3	8.86222237740276	5.49915193586291	48.734707342742	0.0489324842232633	4.36430931167462	0.173160897092498
DLR00012733	1	4	4		27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	YOR202W	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	0	2009-11-09_19-26-14	NA	NA	NA	NA	NA	NA	NA	1	0.0655900330020258	6.85869187389388	0.00011	1	0.006904792357001	0	0.0238888888888889	0.0396255407561288	0.219626396407385	0.0351222841113182	0.648229949158363	1.00664108552997	0.0387243523598813	3.37753075992659	HIS3	9.2198292669805	9.87105728578331	91.0094628595061	0.112465456589857	2.43135049318028	0.266285575839109
DLR00012733	1	5	5		27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	YOR202W	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	0	2009-11-09_19-26-14	NA	NA	NA	NA	NA	NA	NA	1	0.0502782070497602	7.10123730011719	0.00011	1	0.00520132855268658	0	0.0238888888888889	0.032803292378638	0.174254737897165	0.0283068599547005	0.754226552168724	1.00664108552997	0.0279326448562878	3.37753075992659	HIS3	8.83628586935242	10.2125790464311	90.2412679176235	0.0892593698211931	2.35004300979067	0.207475870195958
DLR00012733	1	6	6		27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	YOR202W	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	0	2009-11-09_19-26-14	NA	NA	NA	NA	NA	NA	NA	1	0.0578062218105347	5.88372864012757	0.00011	1	0.00582048389361823	0	0.0238888888888889	0.0314327519745471	0.183964770126501	0.0270159811556126	0.791524042069724	1.00664108552997	0.0363951273456287	3.37753075992659	HIS3	9.03757744754181	8.46512015451079	76.5041789991384	0.0850290307110526	2.83516353718986	0.226935164199097
DLR00012733	1	7	7		27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	YOR202W	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	0	2009-11-09_19-26-14	NA	NA	NA	NA	NA	NA	NA	1	0.0543974275030269	7.38665154363027	0.00011	1	0.00584000525915085	0	0.0238888888888889	0.0361268743201485	0.189196419505551	0.0310813349310508	0.637717059039922	1.00664108552997	0.0323513292857514	3.37753075992659	HIS3	8.94989109293459	10.6255926321346	95.0978968554929	0.100453710458687	2.25869754571784	0.225752102560466
DLR00012733	1	8	8		27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	YOR202W	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	0	2009-11-09_19-26-14	NA	NA	NA	NA	NA	NA	NA	1	0.0606075428614919	6.88510800818371	0.00011	1	0.0062753307756652	0	0.0238888888888889	0.0374863154555797	0.204835478781171	0.0327956758785813	0.656429214100918	1.00664108552997	0.0362275191352623	3.37753075992659	HIS3	9.10585002031183	9.90709933577187	90.2125606878696	0.104322369677999	2.42250523453848	0.246927760791465
DLR00012733	1	9	9		27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	YOR202W	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	0	2009-11-09_19-26-14	NA	NA	NA	NA	NA	NA	NA	1	0.0643921192058251	6.30324211409625	0.00011	1	0.00644518481800869	0	0.0238888888888889	0.0359526680127712	0.210122500912313	0.0319420876291387	0.658511999009903	1.00664108552997	0.0364777636607805	3.37753075992659	HIS3	9.19323679724677	9.07124233107068	83.3940787947415	0.101469779398516	2.64572360919028	0.256313346842261
DLR00012733	1	10	10		27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	YOR202W	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	0	2009-11-09_19-26-14	NA	NA	NA	NA	NA	NA	NA	1	0.11088391161179	2.99336487833348	0.00011	1	0.00679940254004703	0	0.0238888888888889	0.0312740207801844	0.231525990166697	0.0267407297027274	0.863693657944253	2.89434426324473	0.068923975064944	3.37753075992659	HIS3	9.97733081783066	4.31233168169082	43.0255597844413	0.0829790016477416	5.56543461206812	0.297699292969356
