kn
0.0
deviations
param,inde dev,comp dev
C(t=0),7.08355967077e-08,5.08433502747e-08
N(t=0),2.43809479272e-08,1.01659936913e-07
kn,nan,0.0
r (MAD),1.714146189e-06,2.05118432112e-06
params
param,true,inde est,comp est
C(t=0),0.01,0.0099999291644,0.00999994915665
N(t=0),1.0,1.00000002438,1.00000010166
kn,0.0,nan,0.0
r0,1.1434282299326066,1.1434304052,1.14342926052
r1,2.4907194975678784,2.49072117484,2.4907154796
r2,0.22589661831449326,0.225897253484,0.22589683821
r3,1.0592820273263666,1.0592839571,1.05928302903
r4,1.7685692462953173,1.76857180431,1.76857271146
r5,0.0,1.93667637406e-06,2.26769735416e-06
r6,0.0,1.98087898963e-06,3.37670397745e-06
r7,0.0,1.97964256585e-06,2.59344722274e-06
r8,0.4876660289621736,0.487666583589,0.487666516451
