kn
0.04
deviations
param,inde dev,comp dev
C(t=0),0.0657887671617,0.00998853838017
N(t=0),0.364737466339,0.0920467545582
kn,nan,0.0170454848713
r (MAD),0.556833222021,1.46841036983
params
param,true,inde est,comp est
C(t=0),0.01,0.0757887671617,1.14616198315e-05
N(t=0),1.0,1.36473746634,0.907953245442
kn,0.04,nan,0.0570454848713
r0,1.1434282299326066,0.216713998503,3.72674984268
r1,2.4907194975678784,0.812858448108,6.12433257472
r2,0.22589661831449326,0.029026543483,0.00394017467253
r3,1.0592820273263666,0.311392877643,3.30948516641
r4,1.7685692462953173,0.613766209627,4.72015016396
r5,0.0,0.0,0.0189630010955
r6,0.0,0.0,0.00988000677892
r7,0.0,0.0,0.642438238032
r8,0.4876660289621736,0.180304572849,1.39140292122
