kn
0.08
deviations
param,inde dev,comp dev
C(t=0),0.110296679909,6.32606691595e-07
N(t=0),0.788431660482,2.34494285989e-07
kn,nan,2.12562298735e-07
r (MAD),0.675711722461,2.68300481315e-05
params
param,true,inde est,comp est
C(t=0),0.01,0.120296679909,0.00999936739331
N(t=0),1.0,1.78843166048,1.00000023449
kn,0.08,nan,0.0800002125623
r0,1.1434282299326066,0.094039409898,1.14344525616
r1,2.4907194975678784,0.409449864443,2.49074904345
r2,0.22589661831449326,0.0,0.225903211685
r3,1.0592820273263666,0.142963194197,1.059297256
r4,1.7685692462953173,0.351974528018,1.76859275861
r5,0.0,0.0,5.07223922059e-05
r6,0.0,0.0,3.10907861926e-05
r7,0.0,0.0,6.01934382169e-05
r8,0.4876660289621736,0.095729149697,0.487673586309
