kn
0.12
deviations
param,inde dev,comp dev
C(t=0),0.123190388751,8.65232889169e-07
N(t=0),1.0980103957,1.13871411744e-07
kn,nan,6.61914356145e-07
r (MAD),0.702994983378,3.64058700935e-05
params
param,true,inde est,comp est
C(t=0),0.01,0.133190388751,0.00999913476711
N(t=0),1.0,2.0980103957,0.999999886129
kn,0.12,nan,0.120000661914
r0,1.1434282299326066,0.0693315293334,1.1434536446
r1,2.4907194975678784,0.321773233477,2.49075957918
r2,0.22589661831449326,0.0,0.225906305414
r3,1.0592820273263666,0.103272389622,1.05930375309
r4,1.7685692462953173,0.286664833657,1.76860152932
r5,0.0,0.0,2.00056578204e-08
r6,0.0,0.0,9.34421760867e-07
r7,0.0,0.0,0.000186082864958
r8,0.4876660289621736,0.0675648119029,0.48767745233
