kn
0.14
deviations
param,inde dev,comp dev
C(t=0),0.00999950748297,1.41760026941e-07
N(t=0),0.180565185579,6.72775488653e-08
kn,nan,3.91910582737e-07
r (MAD),0.751586462991,5.30764749353e-06
params
param,true,inde est,comp est
C(t=0),0.01,4.9251703334e-07,0.00999985823997
N(t=0),1.0,1.18056518558,1.00000006728
kn,0.14,nan,0.139999608089
r0,1.1434282299326066,2.48637948666,1.14343133323
r1,2.4907194975678784,2.43545942018,2.49073479677
r2,0.22589661831449326,1.42715863163e-05,0.225896858913
r3,1.0592820273263666,0.98169138792,1.05928524622
r4,1.7685692462953173,3.34691065296,1.76857819401
r5,0.0,0.00264198182659,0.0
r6,0.0,1.25116869487,4.71348221238e-06
r7,0.0,0.678683454754,1.08674826979e-05
r8,0.4876660289621736,2.03942433752,0.487667407115
