kn
0.0
deviations
param,inde dev,comp dev
C(t=0),1.03302519486e-07,3.84146055177e-07
N(t=0),3.60828251722e-08,1.91001278571e-07
kn,nan,2.08791339548e-08
r (MAD),1.9775678814e-06,1.20273480356e-05
params
param,true,inde est,comp est
C(t=0),0.01,0.00999989669748,0.00999961585394
N(t=0),1.0,1.00000003608,0.999999808999
kn,0.0,nan,2.08791339548e-08
r0,1.1434282299326066,1.14343076523,1.14343977355
r1,2.4907194975678784,2.49072504872,2.49075583246
r2,0.22589661831449326,0.225897247165,0.225899040872
r3,1.0592820273263666,1.05928440172,1.05929031397
r4,1.7685692462953173,1.7685732457,1.76858400669
r5,0.0,7.79948630683e-07,7.53803450155e-06
r6,0.0,3.42001691612e-07,2.27132609906e-05
r7,0.0,5.02916509585e-07,4.97575538393e-07
r8,0.4876660289621736,0.487667113116,0.48767017812
