kn
0.1
deviations
param,inde dev,comp dev
C(t=0),0.017857100367,1.28851230404e-07
N(t=0),0.187182109748,2.50180856032e-08
kn,nan,4.19171112404e-08
r (MAD),0.470442537955,4.28955356293e-06
params
param,true,inde est,comp est
C(t=0),0.01,0.027857100367,0.00999987114877
N(t=0),1.0,1.18718210975,1.00000002502
kn,0.1,nan,0.100000041917
r0,1.83650619152,1.44933870668,1.83651110542
r1,1.44326695023,1.11079182208,1.44327047838
r2,0.894586432248,0.333669003157,0.894589631862
r3,0.295516274602,0.0915812960151,0.295519148287
r4,0.774080144054,0.206757146225,0.77408279218
r5,1.97811607323,1.5918512815,1.97812151607
r6,1.94800363458,1.41660544387,1.94800905852
r7,2.37975918571,1.69382029354,2.37976495531
r8,1.61490654155,1.03634359308,1.6149113477
